Día,Frecuencia,Tweet,Tipus tweet,Tipus user
2014-09-11T00:00:00Z,1272.0,"RT @Araeslhora: El 9N votarem, el 9N guanyarem! #CatalansVote9N http://t.co/HUkF7I82p9",campaña,entidades civiles
2014-09-11T00:00:00Z,1174.0,RT @Araeslhora: En només 10 minuts ja som TT mundial! Seguim! Expliquem al món que el 9N votarem i guanyarem! #CatalansVote9N http://t.co/w…,organización,entidades civiles
2014-09-11T00:00:00Z,1113.0,RT @ForcadellCarme: Gràcies a tots els que heu fet possible aquesta gran Diada! Hem enviat un missatge al món: el #9N2014 votarem i guanyar…,campaña,entidades civiles
2014-09-11T00:00:00Z,1091.0,"RT @assemblea: Avui hem fet una cosa brutal, la mobilització més gran d'Europa! El #9N2014 votarem i guanyarem! #CatalansVote9N http://t.co…",campaña,entidades civiles
2014-09-11T00:00:00Z,815.0,RT @Araeslhora: Hem fet història! La V ja és la mobilització més multitudinària de la història d'Europa! El 9N votarem i guanyarem! http://…,campaña,entidades civiles
2014-09-12T00:00:00Z,1143.0,"RT @ManuelLopez535: Porfavor,q circule este intento de manipulación del Diario ABC.No tenéis vergüenza! #CatalansVote9N #Diada2014 #VTV3 ht…",noticias,ciudadana/o
2014-09-12T00:00:00Z,463.0,"RT @Isirpal: Si después de esta demostración del pueblo catalán no les dejan votar, es que estamos en dictadura #CatalansVote9N. http://t.c…",campaña,ciudadana/o
2014-09-12T00:00:00Z,375.0,RT @italianocatalan: #CatalansVote9N @lasexta #Diada2014 Manipulación contra los catalanes! Y el mismo periodista por segunda vez. http://t…,noticias,ciudadana/o
2014-09-12T00:00:00Z,323.0,RT @LaVanguardia: En esta fotogalería tienes las mejores imágenes de la histórica #Diada2014 http://t.co/KgQD2afuEE #CatalansVote9N http://…,noticias,media
2014-09-12T00:00:00Z,316.0,"RT @Messias_83: Porfavor,q circule este intento de manipulación del Diario ABC.No tenéis vergüenza! #CatalansVote9N #Diada2014 #VTV3 http:/…",noticias,avatar
2014-09-13T00:00:00Z,456.0,RT @ferranmartin: Todo un clásico: Oigan. #humor #vinyeta #viñeta #Diada2014 #CatalansVote9N #9N2014 http://t.co/sbamjZxw7p,humor,media
2014-09-13T00:00:00Z,368.0,"RT @ManuelLopez535: Porfavor,q circule este intento de manipulación del Diario ABC.No tenéis vergüenza! #CatalansVote9N #Diada2014 #VTV3 ht…",noticias,ciudadana/o
2014-09-13T00:00:00Z,234.0,RT @ForcadellCarme: Ja esteu recuperats de les emocions de la Diada? Doncs ara a fer-nos voluntaris per posar la V de victòria el #9N2014 J…,organización,entidades civiles
2014-09-13T00:00:00Z,213.0,"RT @Messias_83: Porfavor,q circule este intento de manipulación del Diario ABC.No tenéis vergüenza! #CatalansVote9N #Diada2014 #VTV3 http:/…",noticias,avatar
2014-09-13T00:00:00Z,203.0,RT @CataloniaYes: Good morning Scotland! 5 days to go! Bon dia Catalunya! 57 dies pel 9N!  #VoteYes #SíSí http://t.co/8d1uHJtacP,campaña,entidades civiles
