Día,Frecuencia,Tweet,Tipus tweet,user,Lang,Tipus user
11/09/14,1272,"RT @Araeslhora: El 9N votarem, el 9N guanyarem! #CatalansVote9N http://t.co/HUkF7I82p9",campaña,Araeslhora,cat,entidades civiles
11/09/14,1174,RT @Araeslhora: En només 10 minuts ja som TT mundial! Seguim! Expliquem al món que el 9N votarem i guanyarem! #CatalansVote9N http://t.co/w…,organización,Araeslhora,cat,entidades civiles
11/09/14,1113,RT @ForcadellCarme: Gràcies a tots els que heu fet possible aquesta gran Diada! Hem enviat un missatge al món: el #9N2014 votarem i guanyar…,campaña,ForcadellCarme,cat,entidades civiles
11/09/14,1091,"RT @assemblea: Avui hem fet una cosa brutal, la mobilització més gran d'Europa! El #9N2014 votarem i guanyarem! #CatalansVote9N http://t.co…",campaña,assemblea,cat,entidades civiles
11/09/14,815,RT @Araeslhora: Hem fet història! La V ja és la mobilització més multitudinària de la història d'Europa! El 9N votarem i guanyarem! http://…,campaña,Araeslhora,cat,entidades civiles
12/09/14,1143,"RT @ManuelLopez535: Porfavor,q circule este intento de manipulación del Diario ABC.No tenéis vergüenza! #CatalansVote9N #Diada2014 #VTV3 ht…",noticias,ManuelLopez535,cat,ciudadana/o
12/09/14,463,"RT @Isirpal: Si después de esta demostración del pueblo catalán no les dejan votar, es que estamos en dictadura #CatalansVote9N. http://t.c…",campaña,Isirpal,cat,ciudadana/o
12/09/14,375,RT @italianocatalan: #CatalansVote9N @lasexta #Diada2014 Manipulación contra los catalanes! Y el mismo periodista por segunda vez. http://t…,noticias,italianocatalan,cat,ciudadana/o
12/09/14,323,RT @LaVanguardia: En esta fotogalería tienes las mejores imágenes de la histórica #Diada2014 http://t.co/KgQD2afuEE #CatalansVote9N http://…,noticias,LaVanguardia,cat,media
12/09/14,316,"RT @Messias_83: Porfavor,q circule este intento de manipulación del Diario ABC.No tenéis vergüenza! #CatalansVote9N #Diada2014 #VTV3 http:/…",noticias,Messias_83,cat,avatar
13/09/14,456,RT @ferranmartin: Todo un clásico: Oigan. #humor #vinyeta #viñeta #Diada2014 #CatalansVote9N #9N2014 http://t.co/sbamjZxw7p,humor,ferranmartin,cat,media
13/09/14,368,"RT @ManuelLopez535: Porfavor,q circule este intento de manipulación del Diario ABC.No tenéis vergüenza! #CatalansVote9N #Diada2014 #VTV3 ht…",noticias,ManuelLopez535,cat,ciudadana/o
